"Time (sec.)"	"Cycles"	"P1"
21.701604000	21701604	37.000000000
21.767156000	21767156	17.000000000
21.832251000	21832251	0.000000000
21.898227000	21898227	17.000000000
21.963747000	21963747	37.000000000
22.029283000	22029283	63.000000000
22.094805000	22094805	127.000000000
22.160323000	22160323	191.000000000
22.225859000	22225859	217.000000000
22.291395000	22291395	237.000000000
22.356931000	22356931	255.000000000
22.422467000	22422467	237.000000000
22.488003000	22488003	217.000000000
22.553539000	22553539	191.000000000
22.619091000	22619091	127.000000000
22.684643000	22684643	63.000000000
22.750179000	22750179	37.000000000
22.815731000	22815731	17.000000000
22.880826000	22880826	0.000000000
22.946804000	22946804	17.000000000
23.012324000	23012324	37.000000000
23.077860000	23077860	63.000000000
23.143382000	23143382	127.000000000
23.208900000	23208900	191.000000000
23.274436000	23274436	217.000000000
23.339972000	23339972	237.000000000
23.405508000	23405508	255.000000000
23.471044000	23471044	237.000000000
23.536580000	23536580	217.000000000
23.602116000	23602116	191.000000000
23.667668000	23667668	127.000000000
23.733220000	23733220	63.000000000
23.798756000	23798756	37.000000000
23.864308000	23864308	17.000000000
23.929403000	23929403	0.000000000
23.995379000	23995379	17.000000000
24.060899000	24060899	37.000000000
24.126435000	24126435	63.000000000
24.191957000	24191957	127.000000000
24.257475000	24257475	191.000000000
24.323011000	24323011	217.000000000
24.388547000	24388547	237.000000000
24.454083000	24454083	255.000000000
24.519619000	24519619	237.000000000
24.585155000	24585155	217.000000000
24.650691000	24650691	191.000000000
24.716243000	24716243	127.000000000
24.781795000	24781795	63.000000000
24.847331000	24847331	37.000000000
24.912883000	24912883	17.000000000
24.977978000	24977978	0.000000000
25.043956000	25043956	17.000000000
25.109476000	25109476	37.000000000
25.175012000	25175012	63.000000000
25.240534000	25240534	127.000000000
25.306052000	25306052	191.000000000
25.371588000	25371588	217.000000000
25.437124000	25437124	237.000000000
25.502660000	25502660	255.000000000
25.568196000	25568196	237.000000000
25.633732000	25633732	217.000000000
25.699268000	25699268	191.000000000
25.764820000	25764820	127.000000000
25.830372000	25830372	63.000000000
25.895908000	25895908	37.000000000
25.961460000	25961460	17.000000000
26.026555000	26026555	0.000000000
26.092531000	26092531	17.000000000
26.158051000	26158051	37.000000000
26.223587000	26223587	63.000000000
26.289109000	26289109	127.000000000
26.354627000	26354627	191.000000000
26.420163000	26420163	217.000000000
26.485699000	26485699	237.000000000
26.551235000	26551235	255.000000000
26.616771000	26616771	237.000000000
26.682307000	26682307	217.000000000
26.747843000	26747843	191.000000000
26.813395000	26813395	127.000000000
26.878947000	26878947	63.000000000
26.944483000	26944483	37.000000000
27.010035000	27010035	17.000000000
27.075130000	27075130	0.000000000
27.141108000	27141108	17.000000000
27.206628000	27206628	37.000000000
27.272164000	27272164	63.000000000
27.337686000	27337686	127.000000000
27.403204000	27403204	191.000000000
27.468740000	27468740	217.000000000
27.534276000	27534276	237.000000000
27.599812000	27599812	255.000000000
27.665348000	27665348	237.000000000
27.730884000	27730884	217.000000000
27.796420000	27796420	191.000000000
27.861972000	27861972	127.000000000
27.927524000	27927524	63.000000000
27.993060000	27993060	37.000000000
28.058612000	28058612	17.000000000
28.123707000	28123707	0.000000000
28.189683000	28189683	17.000000000
28.255203000	28255203	37.000000000
28.320739000	28320739	63.000000000
28.386261000	28386261	127.000000000
28.451779000	28451779	191.000000000
28.517315000	28517315	217.000000000
28.582851000	28582851	237.000000000
28.648387000	28648387	255.000000000
28.713923000	28713923	237.000000000
28.779459000	28779459	217.000000000
28.844995000	28844995	191.000000000
28.910547000	28910547	127.000000000
28.976099000	28976099	63.000000000
29.041635000	29041635	37.000000000
29.107187000	29107187	17.000000000
29.172282000	29172282	0.000000000
29.238260000	29238260	17.000000000
29.303780000	29303780	37.000000000
29.369316000	29369316	63.000000000
29.434838000	29434838	127.000000000
29.500356000	29500356	191.000000000
29.565892000	29565892	217.000000000
29.631428000	29631428	237.000000000
29.696964000	29696964	255.000000000
29.762500000	29762500	237.000000000
29.828036000	29828036	217.000000000
29.893572000	29893572	191.000000000
29.959124000	29959124	127.000000000
30.024676000	30024676	63.000000000
30.090212000	30090212	37.000000000
30.155764000	30155764	17.000000000
30.220859000	30220859	0.000000000
30.286835000	30286835	17.000000000
30.352355000	30352355	37.000000000
30.417891000	30417891	63.000000000
30.483413000	30483413	127.000000000
30.548931000	30548931	191.000000000
30.614467000	30614467	217.000000000
30.680003000	30680003	237.000000000
30.745539000	30745539	255.000000000
30.811075000	30811075	237.000000000
30.876611000	30876611	217.000000000
30.942147000	30942147	191.000000000
31.007699000	31007699	127.000000000
31.073251000	31073251	63.000000000
31.138787000	31138787	37.000000000
31.204339000	31204339	17.000000000
31.269434000	31269434	0.000000000
31.335412000	31335412	17.000000000
31.400932000	31400932	37.000000000
31.466468000	31466468	63.000000000
31.531990000	31531990	127.000000000
31.597508000	31597508	191.000000000
31.663044000	31663044	217.000000000
31.728580000	31728580	237.000000000
31.794116000	31794116	255.000000000
31.859652000	31859652	237.000000000
31.925188000	31925188	217.000000000
31.990724000	31990724	191.000000000
32.056276000	32056276	127.000000000
32.121828000	32121828	63.000000000
32.187364000	32187364	37.000000000
32.252916000	32252916	17.000000000
32.318011000	32318011	0.000000000
32.383987000	32383987	17.000000000
32.449507000	32449507	37.000000000
32.515043000	32515043	63.000000000
32.580565000	32580565	127.000000000
32.646083000	32646083	191.000000000
32.711619000	32711619	217.000000000
32.777155000	32777155	237.000000000
32.842691000	32842691	255.000000000
32.908227000	32908227	237.000000000
32.973763000	32973763	217.000000000
33.039299000	33039299	191.000000000
33.104851000	33104851	127.000000000
33.170403000	33170403	63.000000000
33.235939000	33235939	37.000000000
33.301491000	33301491	17.000000000
33.366586000	33366586	0.000000000
33.432564000	33432564	17.000000000
33.498084000	33498084	37.000000000
33.563620000	33563620	63.000000000
33.629142000	33629142	127.000000000
33.694660000	33694660	191.000000000
33.760196000	33760196	217.000000000
33.825732000	33825732	237.000000000
33.891268000	33891268	255.000000000
33.956804000	33956804	237.000000000
34.022340000	34022340	217.000000000
34.087876000	34087876	191.000000000
34.153428000	34153428	127.000000000
34.218980000	34218980	63.000000000
34.284516000	34284516	37.000000000
34.350068000	34350068	17.000000000
34.415163000	34415163	0.000000000
34.481139000	34481139	17.000000000
34.546659000	34546659	37.000000000
34.612195000	34612195	63.000000000
34.677717000	34677717	127.000000000
34.743235000	34743235	191.000000000
34.808771000	34808771	217.000000000
34.874307000	34874307	237.000000000
34.939843000	34939843	255.000000000
35.005379000	35005379	237.000000000
